,Unnamed: 0,Country,GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Agricultural water withdrawal as % of total water withdrawal (%),Total population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Net official development assistance and official aid received (current US$),"Mortality rate, infant (per 1,000 live births)",Water Security Index
73,73,Kenya,1350.306143321206,22.765380327272734,0.6042666666666676,69.09737783921895,70.72914285714273,77.99828571428554,229596672.0,17.528369903564453,4.0
74,74,Turkey,12451.12230132363,-3.3736444800003937,0.8744000000000014,91.30404421630476,105.6965714285717,102.62133333333344,-17331046912.0,4.967193603515625,4.0
75,75,Armenia,5604.62701605336,9.549158967619178,0.8298342857142859,76.8542026288003,104.15600000000019,100.76209523809528,516848784.0,8.238846771419048,4.0
76,76,Mozambique,412.50206944363504,21.670608627878774,0.5200133333333348,66.43404409424761,57.54800000000023,84.1638095238095,2162659968.0,13.499963760375975,4.0
77,77,South Africa,7583.365734237536,0.19516907454539026,0.7008666666666681,55.76876687573315,97.07352380952386,100.15028571428577,-1764426368.0,85.00220298767091,4.0
78,78,India,1755.251096904234,8.100221027272028,0.7048114285714284,89.14867258791105,102.6977142857145,100.06761904761923,-2608675072.0,20.237904906272885,4.0
79,79,Guyana,4203.727206149051,21.88751169454524,0.7092590476190495,92.13324757500952,105.02095238095241,100.18838095238097,69143124.0,17.06520402431488,4.0
80,80,Comoros,1622.9456006799953,34.67611969454538,0.5851800000000029,46.99999999999999,90.10000000000002,91.40800000000002,-19026474.0,57.00427436828613,4.0
81,81,Haiti,848.9400362812047,11.26622295878815,0.5233619047619058,78.47728963719987,56.1013333333334,54.43561904761872,-2489891200.0,17.769838571548462,4.0
82,82,Argentina,14576.30107248598,4.940352270909074,0.8801295238095239,74.42287340400006,100.98285714285721,99.50476190476195,376573376.0,2.2465553283691406,4.0
83,83,Senegal,1473.299676799994,10.7187855551515,0.5559047619047615,93.7237000129999,84.83333333333326,94.21866666666678,3885830784.0,33.424588203430176,4.0
84,84,Malawi,378.73167520121206,17.51101221272711,0.5251409523809532,85.29033622919995,106.43142857142948,97.21428571428578,1069631482.0,1.4778327941894531,4.0
85,85,Benin,925.9411138812063,18.726224199999702,0.5702952380952393,10.708689444642914,85.39676190476213,89.70076190476198,882285632.0,47.9839688539505,4.0
86,86,Cameroon,1526.451023932117,9.716488492727194,0.5891542857142866,85.80595194171337,84.80914285714313,101.23619047619059,7551336704.0,35.116955041885376,4.0
87,87,Nicaragua,1998.0355755660491,18.048266147878767,0.7080095238095279,73.76747445379976,92.47409523809552,102.71142857142866,1449503488.0,8.581918954849241,4.0
88,88,Sri Lanka,3801.5313254109055,1.4178974290905444,0.8331619047619068,83.21089751438103,105.50647619047665,100.83847619047623,518871360.0,5.411655068397522,4.0
89,89,Suriname,7496.504412622948,15.769086118181688,0.7551666666666659,61.17824840957178,98.40800000000013,98.24285714285715,179462416.0,11.597010135650635,4.0
90,90,Jamaica,5955.561207871477,5.669437602424259,0.7588838095238106,-15.874360515520491,94.08209523809526,97.31523809523813,630688544.0,7.361058048903942,4.0
91,91,Sudan,5186.278664600104,10.867393599999561,0.5421999999999993,96.19454242,55.50000000000002,65.99999999999999,10085992960.0,30.675518035888672,4.0
92,92,Dominican Republic,7109.660986698058,1.313967749090807,0.7810190476190506,81.60374765499992,84.18514285714286,81.58457142857118,-698997392.0,13.960559844970705,4.0
93,93,Burundi,258.1788632557582,28.957518770909253,0.4748704761904747,85.75364922942833,78.46742857142868,89.35142857142858,1593320640.0,47.31488907337189,4.0
94,94,Afghanistan,608.5138037503019,25.56046908000053,0.567495238095244,97.77905124999997,68.55980952380924,92.05961904761853,1956153856.0,46.563586473464966,4.0
95,95,Antigua and Barbuda,17800.46674852341,0.6680653987878742,0.762,13.140114208761874,98.11314285714292,98.11314285714292,124723710.0,7.090258464217186,4.0
96,96,Papua New Guinea,2665.996135014546,14.779776372727385,0.5885447619047621,0.21574941355999575,42.94457142857152,88.3276190476191,-237576480.0,31.50401318073273,4.0
97,97,Bangladesh,1172.5360701018215,4.973075085453728,0.6729333333333329,87.81711737,93.4220952380956,88.38380952380966,9538963712.0,16.845237851142887,4.0
98,98,Ecuador,6103.788898100553,4.6018026309087645,0.7917409523809553,79.52374442999991,91.70761904761936,96.83676190476194,2166540512.0,10.431446433067322,4.0
99,99,Morocco,3408.304361332121,10.119152761212149,0.7448533333333351,83.3977530471046,90.03771428571451,100.72476190476198,-6663569408.0,14.619315057992935,4.0
100,100,Timor-Leste,4966.787228540983,-0.4605836457142232,0.6830000000000052,91.38225255999998,82.16799999999989,111.32400000000051,326010688.0,35.508921265602105,4.0
101,101,Uzbekistan,2348.1888953066664,30.801736129524212,0.7620600000000053,91.62333199720007,85.97066666666667,99.28723809523814,3328667104.0,16.209166169166565,4.0
