Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominican Republic,Net official development assistance and official aid received (current US$),4110000.134,58650001.53,107809997.6,82709999.08,64519996.64,107400001.5,185490005.5,61299999.24,117290000.9,161020004.3,85709999.08,104110000.6,95000000,75000000,144630004.9,177339996.3,139630004.9,193809997.6,242619995.1,260119995.1,146910003.7,166210006.7,279959991.5,176699996.9,117709999.1,89300003.05,134440002.4
Algeria,Net official development assistance and official aid received (current US$),326309997.6,295489990.2,295739990.2,306880004.9,247889999.4,419869995.1,137979995.7,199960006.7,198860000.6,186119995.1,239240005.5,316970001.2,347380004.9,240679992.7,395010009.8,324829986.6,302390014.6,201250000,193350006.1,147320007.3,203419998.2,160619995.1,71129997.25,144550003.1,174679992.7,144529998.8,175720001.2
East Asia & Pacific (excluding high income),Net official development assistance and official aid received (current US$),8854749848,9179850053,9448259942,7759069830,6543680136,8096189837,9566739985,8242370090,7084490102,6999100062,6797159977,6698899950,9265909940,7555189963,8339119775,8444590152,9501010045,9439880192,7499870029,8868360128,12010670213,9495230052,8525499852,7720130127,8414689970,8259290054,7378829912
Early-demographic dividend,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,Net official development assistance and official aid received (current US$),9703379846,9899780047,10441589925,8456159858,7108580164,8840529851,10195439996,8813160100,7670310080,7676680060,7332029944,7763009976,9265909940,7555189963,8339119775,8444590152,9501010045,9439880192,7499870029,8868360128,12010670213,9495230052,8525499852,7720130127,8414689970,8259290054,7378829912
Europe & Central Asia (excluding high income),Net official development assistance and official aid received (current US$),5753469981,5425490099,5833949963,5407780022,4755910002,5684709937,7279840001,6721910049,6327280109,8151719860,6729569926,7516450003,4824019960,6007630028,5793659950,7020559988,7678640005,7156200001,10442530050,9997339970,8997940104,10380230000,8548860034,9732459960,9776560030,7666450116,7492509980
Europe & Central Asia,Net official development assistance and official aid received (current US$),9820459947,9909920143,12067309875,8986440028,7423490001,9147489945,11859109954,11086320045,9923140131,11357389890,10626259920,11980080093,4947479959,6204140022,5956569954,7261619986,7847470007,7287750004,10442530050,9997339970,8997940104,10380230000,8548860034,9732459960,9776560030,7666450116,7492509980
Ecuador,Net official development assistance and official aid received (current US$),185710006.7,192029998.8,187619995.1,238429992.7,158100006.1,181059997.6,153130004.9,155169998.2,171250000,233520004.3,202830001.8,184350006.1,257799987.8,213869995.1,230059997.6,248419998.2,223559997.6,168529998.8,181300003.1,148059997.6,150520004.3,165050003.1,318160003.7,243710006.7,211110000.6,404010009.8,525049987.8
"Egypt, Arab Rep.",Net official development assistance and official aid received (current US$),2485229980,2692199951,2028069946,2193899902,2009459961,1974140015,1620250000,1370829956,1300390015,1308729980,1017179993,1502839966,1046310059,909030029.3,1138689941,1688530029,982739990.2,599159973.1,423730011,1813430054,5512509766,3537600098,2524530029,2437350098,33110000.61,2080850098,1740589966
Euro area,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
