,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
20,Bolivia (Plurinational State of),0.064249378,0.003875617,0.009342146,0.00101908,0.016632268,0.175278949,0.53807947,0.105953819,0.001540143,0.002790698,0.000137386,0.001843662,0.002737206,0.036117088,0.924304687,0.000371611,0.02722216,0.002638353,0.040306225,0.831625183,0.700657895,0.910798122,0.242256861,0.000701843
21,Bosnia and Herzegovina,0.002993294,0.002273003,0.002278249,0.009148419,0.030305556,0.109417961,0.667218543,0.019926646,0.021863165,0.022984565,0.000309548,0.004906829,0.029122166,0.08520412,0.532124372,0.000930658,0.101144359,0.017080962,0.005669763,0.992679356,0.994517544,0.990610329,0.041426928,0.003460939
22,Botswana,0.034021085,0.000852452,0.001827547,0.000226755,0.044658116,0.047717025,0.57781457,0.011496102,0.014724339,0.000107994,0.000155848,0.001126225,0.000248753,0.016116372,0.384379692,0.000648273,0.165809227,0.000830481,0.017592265,0.942898975,0.912280702,0.981220657,0.36018412,0.001318714
23,Brazil,0.498048335,0.035018404,0.231056685,0.00288047,0.080144105,0.074119773,0.655629139,0.083117154,0.095115803,0.058263081,0.056178087,0.229887076,0.09188628,0.064380509,0.576186105,0.001058904,0.060947599,0.004502832,0.004395435,0.963396779,0.839912281,0.990610329,0.14844649,0.832360256
24,Brunei Darussalam,0.000335707,0.000112695,0.000402027,0.008982098,0.312949708,0.011150259,0.836092715,0.040809646,0.003053099,7.70E-06,0.01702681,0.002056287,0.000114324,0.041664386,0.057907186,0.001111716,0.101144359,0.045438947,0.037014052,0.814548817,0.800654395,0.861502347,0.084004603,5.35E-05
25,Bulgaria,0.006490149,0.002287877,0.00722907,0.008571722,0.047861156,0.078429292,0.741721854,0.005563439,0.0240527,0.001379942,0.016387601,0.012986568,0.007503334,0.145252888,0.166984982,0.013645737,0.019543654,0.001294734,0.000144203,0.992679356,0.989035088,0.990610329,0.055235903,0.007746115
26,Burkina Faso,0.016036172,0.014245554,0.005784549,0.007819255,0.004207114,0.425207178,0.092715232,0.00156057,0.008716704,0.000611483,9.32E-05,0.005130428,0.001068338,0.007449782,0.516967962,0.002515131,0.024311325,0.000770656,0.020856195,0.732064422,0.734649123,0.941314554,0.647871116,0.006342882
27,Burundi,0.0016259,0.009584582,0.001407103,0.044071584,0.000860379,0.635891589,0.129139073,0.00259723,0.037267984,0.000322674,6.44E-05,0.000569285,0.0003615,0.003849649,0.796680682,0.003286128,0.015187948,0.000720912,0.004094804,0.638360176,0.706140351,0.800469484,0.489067894,0.050288757
28,Cabo Verde,0.000233942,0.000221295,0.000429775,0.016480583,0.021657506,0.150801831,0.490066225,0.001137451,0,3.63E-05,1.72E-06,0,2.89E-05,0.008219692,0.93072347,0.002717332,0.133864265,0.005245651,0.097601629,0.857979502,0.850877193,0.82629108,0.158803222,0
29,Cambodia,0.010586482,0.013512497,0.004209027,0.010648402,0.005478261,0.600205834,0.347682119,0.061704272,1.83E-06,0.002984012,0.00014168,0.001322388,0.002863357,0.026027849,0.944888876,0.000326207,0.012388782,0.005784683,0.016614314,0.543191801,0.593201754,0.809859155,0.278481013,1.19E-06
30,Cameroon,0.027804649,0.011531381,0.015084136,0.005786537,0.008305402,0.245346554,0.30794702,0.025245308,0.019662712,0.001071221,0.000449081,0.003363585,0.001423662,0.007694351,0.680649258,0.000495561,0.055928249,0.000501393,0.011098597,0.62079063,0.472587719,0.861502347,0.617951669,0.018550823
31,Canada,0.583957862,0.007623956,0.038407997,0.000225627,0.344195265,0.031874627,0.940397351,0.159185225,0.652110935,0.005675872,0.127018068,0.069643504,0.050675167,0.206645742,0.101772904,0.001204288,0.101676992,0.004035338,0.001745582,0.997071742,0.989035088,1,0.032220944,1
