,country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
21,New Zealand,4,0.015655431,0.000716035,0.005214015,0.001985402,0.258865944,0.098293728,0.938741722,0.140182886,0.102276728,0.004661337,0.00508329,0.011089407,0.006827903,0.21788274,0.619807072,0.001977089,0.081753354,0.040900087,0.003782938,1,1,1,0.031070196,0.020068432
22,Pakistan,1,0.046558648,0.133081124,0.085451852,0.03113601,0.007159411,0.424386033,0.322847682,0.002524401,0.004018329,0.250581395,0.006010647,0.132354071,0.241059402,0.183070091,0.944634856,0.037249634,0.002895138,0.004073837,0.005104357,0.866764275,0.878289474,0.863849765,0.676639816,0.033045799
23,Palau,3,2.51E-05,5.72E-06,1.32E-05,0.004873901,0.066173384,0.065405059,0.743377483,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.931185944,0.846491228,0.929577465,0.180667434,0.050288757
24,Papua New Guinea,2,0.02706773,0.007488171,0.001300478,0.001958184,0.018084553,0.344860949,0.281456954,0.201073961,0,1.45E-06,0.00071956,0.003043963,0.000508676,0.007831145,0.002563584,3.39E-05,0.101144359,0.017080962,0.004653883,0.120058565,0.263157895,0.718309859,0.426927503,0
25,Philippines,2,0.017543931,0.060898299,0.06006372,0.042979371,0.016214786,0.21151278,0.572847682,0.009438818,0.001977904,0.098706395,0.038798729,0.100131141,0.110701122,0.161752084,0.810249089,0.008317162,0.007264093,0.002318916,0.000970397,0.865300146,0.876096491,0.845070423,0.246260069,0.008443199
26,Samoa,2,0.000164345,0.000176103,4.21E-05,0.00863955,0.025504539,0.163651916,0.592715232,0,0.001431191,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.978038067,0.986842105,0.938967136,0.14269275,1.19E-05
27,Singapore,4,4.01E-05,0,0.0071425,1,0.36346658,0,0.963576159,0.000214054,0.000377497,3.66E-05,0.002591132,0.007285722,0.00151959,0.038967173,0.021772717,0.051724383,0.101144359,0.017080962,0.017418614,1,0.800654395,1,0.00575374,8.90E-05
28,Solomon Islands,2,0.00168848,0.000504768,0.000148638,0.002325454,0.010865866,0.496784024,0.344370861,0.153988523,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.714494876,0.75,0.840375587,0.192174914,0.050288757
29,Sri Lanka,2,0.003835487,0.019349051,0.005033516,0.041499817,0.02127639,0.132927927,0.701986755,0.004926004,0.007831638,0.016438953,0.003567749,0.011020818,0.017005368,0.117171061,0.878155495,0.029338905,0.013724384,0.003399422,0.003891119,0.901903367,0.915570175,0.953051643,0.060989643,0.007061152
30,Tajikistan,2,0.008335371,0.006801058,0.002870862,0.007127303,0.00550201,0.417513459,0.498344371,0.005329737,0.101395354,0.015174419,0.001750816,0.008853418,0.015098391,0.273720955,0.912942658,0.022763725,0.000922039,0.002099923,0.000301208,0.585651537,0.605263158,0.835680751,0.349827388,0.035062151
